Time,Float_Position,Float_Velocity,Float_Acceleration,Spar_Position,Spar_Velocity,Spar_Acceleration
81.27,-4.07702932874596,-0.348718703693536,-0.0632216069041389,-3.94703179983684,-0.0968950905927683,0.000818455286334649
81.28,-4.08051969274221,-0.349355718179396,-0.0639874595204623,-3.94800071689315,-0.0968890461104412,0.000386048684682387
81.29,-4.08401646453009,-0.350000197777229,-0.0647137903230255,-3.94896959493324,-0.096887268426001,-3.50031474168087e-05
81.3,-4.08751971677746,-0.3506517451149,-0.0654002188579814,-3.94993847605469,-0.0968896431946124,-0.000444541507115728
81.31,-4.09102951815947,-0.351309959030786,-0.0660463676126485,-3.9509074012037,-0.0968960544851519,-0.000842407777777308
81.32,-4.09454593332086,-0.351974434604463,-0.0666518622596327,-3.95187641015924,-0.0969063847815817,-0.00122844352857644
81.33,-4.09806902283848,-0.352644763189876,-0.0672163319093579,-3.9528455415172,-0.096920514985336,-0.0016024906179088
81.34,-4.10159884318426,-0.353320532451073,-0.0677394093707498,-3.95381483267458,-0.0969383244187609,-0.00196439130049919
81.35,-4.10513544668847,-0.354001326400584,-0.068220731419783,-3.95478431981374,-0.0969596908296431,-0.00231398833809702
81.36,-4.10867888150343,-0.354686725440528,-0.0686599390756357,-3.95575403788665,-0.0969844903968615,-0.0026511251136557
81.37,-4.11222919156759,-0.355376306406507,-0.0690566778841623,-3.95672402059928,-0.0970125977371984,-0.00297564574887372
81.38,-4.11578641657013,-0.35606964261438,-0.0694105982083628,-3.95769430039595,-0.0970438859133411,-0.00328739522497062
81.39,-4.119350591916,-0.356766303909964,-0.0697213555255669,-3.95866490844391,-0.0970782264431065,-0.00358621950658307
81.4,-4.12292174869146,-0.35746585672175,-0.069988610730984,-3.95963587461788,-0.0971154893099194,-0.00387196566863615
81.41,-4.12649991363021,-0.358167864116671,-0.0702120304473008,-3.96060722748482,-0.0971555429745734,-0.00414448202606574
81.42,-4.13008510908006,-0.358871885859002,-0.0703912873399833,-3.96157899428872,-0.0971982543883016,-0.00440361826624777
81.43,-4.1336773529702,-0.359577478472436,-0.0705260604379216,-3.96255120093559,-0.0972434890071846,-0.00464922558398745
81.44,-4.13727665877911,-0.360284195305392,-0.0706160354590722,-3.9635238719786,-0.0972911108079197,-0.00488115681892856
